filename,age,gender,fold
7865_ChristopherPlummer_40_m.jpg,40,0,train
8271_RichardChamberlain_29_m.jpg,29,0,train
1585_IanHolm_72_m.jpg,72,0,train
1024_StephenHawking_54_m.jpg,54,0,train
10674_LuiseRainer_27_f.jpg,27,1,train
8477_WilliamHolden_46_m.jpg,46,0,train
9678_MegRyan_31_f.jpg,31,1,train
15848_StefaniePowers_68_f.jpg,68,1,train
3466_LeslieCaron_61_m.jpg,61,0,train
1542_Bono_39_m.jpg,39,0,train
4363_RalphMacchio_48_m.jpg,48,0,train
6639_MelFerrer_58_m.jpg,58,0,train
14611_YvonneDeCarlo_40_f.jpg,40,1,train
9834_JudyDavis_46_f.jpg,46,1,train
6708_RexHarrison_26_m.jpg,26,0,train
12114_EvaMarieSaint_71_f.jpg,71,1,train
3758_RutgerHauer_37_m.jpg,37,0,train
11144_JuneLockhart_84_f.jpg,84,1,train
15187_CydCharisse_40_f.jpg,40,1,train
7847_AnthonyQuayle_66_m.jpg,66,0,train
8244_ReginaldOwen_41_m.jpg,41,0,train
10422_BarbaraBain_59_f.jpg,59,1,train
4513_CarlosSantana_56_m.jpg,56,0,train
6033_RafVallone_39_m.jpg,39,0,train
7920_GeorgePeppard_52_m.jpg,52,0,train
13073_GraceKelly_42_f.jpg,42,1,train
828_HarrySTruman_61_m.jpg,61,0,train
11212_MonicaVitti_35_f.jpg,35,1,train
701_ElVenizelos_56_m.jpg,56,0,train
11357_VirnaLisi_37_f.jpg,37,1,train
4574_Fernandel_56_m.jpg,56,0,train
3539_MartinSheen_59_m.jpg,59,0,train
6685_PeterGraves_48_m.jpg,48,0,train
5617_PeterFalk_68_m.jpg,68,0,train
1180_ErnestRutherford_23_m.jpg,23,0,train
4209_HarveyKeitel_68_m.jpg,68,0,train
6352_JamesArness_51_m.jpg,51,0,train
16116_SamuelJacksonn_47_m.jpg,47,0,train
11754_SusanSarandon_62_f.jpg,62,1,train
2670_JerryLewis_87_m.jpg,87,0,train
4262_KevinCostner_28_m.jpg,28,0,train
9840_JudyDavis_58_f.jpg,58,1,train
13079_GraceKelly_29_f.jpg,29,1,train
14040_JudyGarland_21_f.jpg,21,1,train
9443_EdwardGRobinson_54_m.jpg,54,0,train
7958_GilbertRoland_49_m.jpg,49,0,train
112_MickJagger_30_m.jpg,30,0,train
3026_AlanRickman_60_m.jpg,60,0,train
15544_JulieBishop_42_f.jpg,42,1,train
5198_CharlesGrodin_69_m.jpg,69,0,train
14728_MarleneDietrich_44_f.jpg,44,1,train
2648_JeremyKemp_60_m.jpg,60,0,train
3321_JeffBridges_19_m.jpg,19,0,train
10844_RaquelWelch_58_f.jpg,58,1,train
3117_ChuckNorris_54_m.jpg,54,0,train
5422_KennethBranagh_25_m.jpg,25,0,train
2892_SamElliott_50_m.jpg,50,0,train
3261_IanMcKellen_24_m.jpg,24,0,train
16128_SamuelJacksonn_55_m.jpg,55,0,train
7348_LouisJourdan_38_m.jpg,38,0,train
9381_SteveMcQueen_26_m.jpg,26,0,train
9819_JaneAsher_63_f.jpg,63,1,train
2584_GeneWilder_44_m.jpg,44,0,train
5282_JackNicolson_32_m.jpg,32,0,train
6237_DirkBogarde_36_m.jpg,36,0,train
4146_GenaRowlands_58_m.jpg,58,0,train
9991_GlennClose_50_f.jpg,50,1,train
10079_JaneBirkin_35_f.jpg,35,1,train
6153_DanaAndrews_60_m.jpg,60,0,train
173_JhonLenon_27_m.jpg,27,0,train
15803_SarahDouglas_54_f.jpg,54,1,train
9034_HumphreyBogard_36_m.jpg,36,0,train
6655_OrsonWelles_30_m.jpg,30,0,train
5102_AnthonyHopkins_57_m.jpg,57,0,train
9010_GeorgeCScott_43_m.jpg,43,0,train
1434_FriedrichNietzsche_42_m.jpg,42,0,train
1229_ClaudeLВviStrauss_92_m.jpg,92,0,train
11410_AnnetteBening_38_f.jpg,38,1,train
9467_MaximilianShell_25_m.jpg,25,0,train
10564_KathrynHays_34_f.jpg,34,1,train
6989_ChristopherWalken_25_m.jpg,25,0,train
14130_SusannahYork_53_f.jpg,53,1,train
5473_MartinScorsese_39_m.jpg,39,0,train
14733_MarleneDietrich_51_f.jpg,51,1,train
14701_ElizabethTaylor_20_f.jpg,20,1,train
9350_GeorgesMarchal_58_m.jpg,58,0,train
391_JPaulGetty_53_m.jpg,53,0,train
8064_JohnForsythe_25_m.jpg,25,0,train
13350_BetteDavis_33_f.jpg,33,1,train
11807_ValerieHarper_71_f.jpg,71,1,train
9548_RicardoMontalbаn_51_m.jpg,51,0,train
419_LelandStanford_54_m.jpg,54,0,train
12121_EvaMarieSaint_82_f.jpg,82,1,train
3736_RogerAllam_51_m.jpg,51,0,train
5894_HowardKeel_39_m.jpg,39,0,train
5654_RayDanton_23_m.jpg,23,0,train
5777_BenGazzara_42_m.jpg,42,0,train
821_JosephStalin_45_m.jpg,45,0,train
4086_ClintWalker_87_m.jpg,87,0,train
13958_DeborahKerr_24_f.jpg,24,1,train
9776_TomJones_62_f.jpg,62,1,train
246_TheodorakisMikis_83_m.jpg,83,0,train
2895_SamElliott_54_m.jpg,54,0,train
8456_WalterPidgeon_68_m.jpg,68,0,train
16458_Tyson_49_f.jpg,49,1,train
2285_RodTaylor_65_m.jpg,65,0,train
15222_DebraPaget_21_f.jpg,21,1,train
12512_AnneBaxter_45_f.jpg,45,1,train
13345_BetteDavis_26_f.jpg,26,1,train
14633_BarbaraStanwyck_26_f.jpg,26,1,train
4519_DustinHoffman_76_m.jpg,76,0,train
872_WinstonChurchill_68_m.jpg,68,0,train
12727_JanetLeigh_73_f.jpg,73,1,train
4852_RogerMoore_46_m.jpg,46,0,train
9805_JaneAsher_26_f.jpg,26,1,train
174_JhonLenon_20_m.jpg,20,0,train
6277_ErrolFlynn_38_m.jpg,38,0,train
5651_PeterOToole_38_m.jpg,38,0,train
